Date;Value
2020/04/28;2467.53485
2020/04/29;2518.71015
2020/04/30;2479.14811
2020/05/01;2413.43218
2020/05/04;2416.45117
2020/05/05;2457.6153
2020/05/06;2456.88628
2020/05/07;2481.07503
2020/05/08;2502.9311
2020/05/11;2513.95449
2020/05/12;2472.83769
2020/05/13;2443.29679
2020/05/14;2447.29379
2020/05/15;2455.66907
2020/05/18;2515.7685
2020/05/19;2491.85407
2020/05/20;2516.61664
2020/05/21;2509.32693
2020/05/22;2511.29775
2020/05/25;2524.16791
2020/05/26;2543.49405
2020/05/27;2570.44108
2020/05/28;2563.98097
2020/05/29;2549.44262
2020/06/01;2569.8967
2020/06/02;2589.37961
2020/06/03;2625.60417
2020/06/04;2594.49554
2020/06/05;2657.09947
2020/06/08;2684.92305
2020/06/09;2659.0655
2020/06/10;2650.98001
2020/06/11;2521.61592
2020/06/12;2560.21643
2020/06/15;2552.95137
2020/06/16;2619.61138
2020/06/17;2622.67105
2020/06/18;2620.7638
2020/06/19;2623.76509
2020/06/22;2616.58754
2020/06/23;2620.52019
2020/06/24;2575.56053
2020/06/25;2600.83189
2020/06/26;2565.18296
2020/06/29;2573.12069
2020/06/30;2602.40949
2020/07/01;2606.73891
2020/07/02;2639.47123
2020/07/03;2638.65821
2020/07/06;2667.87369
2020/07/07;2651.99574
2020/07/08;2654.57122
2020/07/09;2654.74828
2020/07/10;2664.35744
2020/07/13;2650.23446
2020/07/14;2655.41462
2020/07/15;2682.55515
2020/07/16;2663.10675
2020/07/17;2672.95174
2020/07/20;2689.5079
2020/07/21;2695.25823
2020/07/22;2674.34599
2020/07/23;2655.06673
2020/07/24;2626.67801
2020/07/27;2615.2508
2020/07/28;2618.47736
2020/07/29;2627.91601
2020/07/30;2606.19685
2020/07/31;2598.16282
2020/08/03;2635.19895
2020/08/04;2648.42546
2020/08/05;2642.86871
2020/08/06;2657.01698
2020/08/07;2661.99522
2020/08/10;2671.57493
2020/08/11;2673.40106
2020/08/12;2696.57235
2020/08/13;2689.10658
2020/08/14;2684.43782
2020/08/17;2686.02201
2020/08/18;2681.51154
2020/08/19;2680.55506
2020/08/20;2682.63075
2020/08/21;2701.96794
2020/08/24;2724.29254
2020/08/25;2729.28125
2020/08/26;2754.882
2020/08/27;2758.83647
2020/08/28;2748.8634
2020/08/31;2727.70347
2020/09/01;2740.86909
2020/09/02;2796.82336
2020/09/03;2730.95172
2020/09/04;2711.37881
2020/09/07;2711.17155
2020/09/08;2666.70083
2020/09/09;2699.30707
2020/09/10;2661.14691
2020/09/11;2672.53656
2020/09/14;2694.47359
2020/09/15;2712.21319
2020/09/16;2715.32732
2020/09/17;2697.3559
2020/09/18;2671.4193
2020/09/21;2652.4358
2020/09/22;2672.07002
2020/09/23;2641.15792
2020/09/24;2636.30887
2020/09/25;2667.40208
2020/09/28;2704.86962
2020/09/29;2679.22732
2020/09/30;2690.77084
2020/10/01;2702.26191
2020/10/02;2689.589
2020/10/05;2715.76839
2020/10/06;2698.53081
2020/10/07;2733.27161
2020/10/08;2757.42898
2020/10/09;2762.8369
2020/10/12;2796.9814
2020/10/13;2798.90957
2020/10/14;2785.78759
2020/10/15;2776.21916
2020/10/16;2777.02157
2020/10/19;2742.58932
2020/10/20;2737.95937
2020/10/21;2725.30105
2020/10/22;2739.11108
2020/10/23;2746.70938
2020/10/26;2709.66126
2020/10/27;2697.36187
2020/10/28;2639.95375
2020/10/29;2671.00077
2020/10/30;2643.3686
2020/11/02;2679.01513
2020/11/03;2708.69121
2020/11/04;2761.24094
2020/11/05;2794.59519
2020/11/06;2787.51046
2020/11/09;2840.54918
2020/11/10;2845.01345
2020/11/11;2877.5973
2020/11/12;2847.67052
2020/11/13;2867.94048
2020/11/16;2900.70778
2020/11/17;2887.82229
2020/11/18;2875.78087
2020/11/19;2883.58161
2020/11/20;2876.38936
2020/11/23;2896.54045
2020/11/24;2925.85122
2020/11/25;2918.5688
2020/11/26;2922.72061
2020/11/27;2922.87969
2020/11/30;2893.28559
2020/12/01;2908.32794
2020/12/02;2904.48784
2020/12/03;2895.57867
2020/12/04;2921.89523
2020/12/07;2919.90604
2020/12/08;2929.654
2020/12/09;2926.51954
2020/12/10;2913.86004
2020/12/11;2913.93858
2020/12/14;2905.60558
2020/12/15;2920.65667
2020/12/16;2926.91873
2020/12/17;2934.96031
2020/12/18;2927.33177
2020/12/21;2907.76394
2020/12/22;2913.32237
2020/12/23;2920.91174
2020/12/24;2929.22329
2020/12/25;2929.9691
2020/12/28;2937.29006
2020/12/29;2941.45625
2020/12/30;2938.76239
2020/12/31;2959.18738
2021/01/01;2959.37869
2021/01/04;2936.17583
2021/01/05;2950.66547
2021/01/06;2965.53691
2021/01/07;3004.55948
2021/01/08;3032.8595
2021/01/11;3036.3507
2021/01/12;3039.93228
2021/01/13;3047.21234
2021/01/14;3055.03747
2021/01/15;3040.14284
2021/01/18;3043.36388
2021/01/19;3054.10162
2021/01/20;3093.84197
2021/01/21;3087.68486
2021/01/22;3067.59105
2021/01/25;3085.86858
2021/01/26;3067.16387
2021/01/27;3025.49918
2021/01/28;3025.64509
2021/01/29;2966.38907
2021/02/01;3026.27425
2021/02/02;3080.68677
2021/02/03;3094.27032
2021/02/04;3120.46834
2021/02/05;3125.8756
2021/02/08;3143.79092
2021/02/09;3135.88275
